id,timestamp,timestamp,sequence,byte1,byte8,byte6,byte3,can_id,byte4,byte2,byte5,byte7
6,1761572699738,1761572699738,31167,102,170,75,14,217448864,40,8,1,0
6,1761572699738,1761572699738,31168,225,255,255,0,419299536,255,3,255,255
6,1761572699738,1761572699738,31169,255,125,116,255,418384139,112,255,125,126
6,1761572699738,1761572699738,31170,21,0,0,20,217450150,0,0,255,0
6,1761572699738,1761572699738,31171,0,0,0,0,217449383,0,0,0,0
6,1761572699738,1761572699738,31172,0,55,255,255,202058448,255,255,255,255
6,1761572699738,1761572699738,31173,0,125,255,0,419373295,0,125,125,255
6,1761572699738,1761572699738,31174,48,20,255,255,201326603,250,255,255,255
6,1761572699738,1761572699738,31175,255,125,116,255,418384139,113,255,125,126
6,1761572699738,1761572699738,31176,255,255,255,111,419343920,111,255,255,255
6,1761572699738,1761572699738,31177,0,0,0,0,150892043,0,0,0,0
6,1761572699738,1761572699738,31178,14,100,255,0,217449893,74,1,0,0
6,1761572699738,1761572699738,31179,0,255,125,125,419348235,125,0,125,255
6,1761572699738,1761572699738,31180,0,243,1,255,418382091,255,0,255,255
6,1761572699738,1761572699738,31181,0,125,255,0,419373295,0,125,125,255
6,1761572699738,1761572699738,31182,193,255,255,255,419319563,255,0,255,255
6,1761572699738,1761572699738,31183,247,255,255,0,419361047,207,0,255,255
6,1761572699738,1761572699738,31184,0,255,254,0,419343627,0,0,254,255
6,1761572699738,1761572699738,31185,255,125,116,255,418384139,112,255,125,126
6,1761572699619,1761572699619,31135,0,125,255,0,419373295,0,125,125,255
6,1761572699619,1761572699619,31157,0,0,0,0,418517491,0,0,0,0
6,1761572699619,1761572699619,31137,36,7,0,11,418448336,0,39,0,208
6,1761572699619,1761572699619,31138,1,3,12,1,418448848,1,0,247,232
6,1761572699619,1761572699619,31139,84,16,0,160,418449104,255,20,0,0
6,1761572699619,1761572699619,31140,0,0,0,0,418514419,0,0,0,64
6,1761572699619,1761572699619,31141,102,240,245,0,217995840,0,0,211,255
6,1761572699619,1761572699619,31142,63,0,33,130,418710000,2,61,255,0
6,1761572699619,1761572699619,31136,68,203,0,0,418447824,0,0,0,1
6,1761572699619,1761572699619,31144,255,125,116,255,418384139,112,255,125,126
6,1761572699619,1761572699619,31145,0,19,0,0,418710512,0,0,0,136
6,1761572699619,1761572699619,31146,125,255,255,3,418710768,255,232,255,255
6,1761572699619,1761572699619,31147,51,126,126,30,419322176,126,126,18,44
6,1761572699619,1761572699619,31148,0,0,0,0,150892043,0,0,0,0
6,1761572699619,1761572699619,31149,0,3,12,0,418448592,0,56,248,232
6,1761572699619,1761572699619,31150,255,255,255,111,419343920,111,255,255,255
6,1761572699619,1761572699619,31151,0,125,255,0,419373295,0,125,125,255
6,1761572699619,1761572699619,31152,247,255,255,0,419361024,207,0,255,255
6,1761572699619,1761572699619,31153,204,83,255,125,217050891,255,250,255,255
6,1761572699619,1761572699619,31154,17,64,0,192,419361843,37,218,0,0
6,1761572699619,1761572699619,31155,255,125,116,255,418384139,112,255,125,126
6,1761572699619,1761572699619,31156,125,0,16,0,419325167,0,0,68,0
6,1761572699619,1761572699619,31163,0,255,255,255,419354928,255,255,255,255
6,1761572699619,1761572699619,31158,0,125,255,0,419373295,0,125,125,255
6,1761572699619,1761572699619,31159,0,171,101,0,217449378,0,0,0,0
6,1761572699619,1761572699619,31160,255,125,116,255,418384139,112,255,125,126
6,1761572699619,1761572699619,31161,255,255,255,111,419343920,111,255,255,255
6,1761572699619,1761572699619,31162,0,0,0,0,150892043,0,0,0,0
6,1761572699619,1761572699619,31143,0,124,3,208,418710256,7,0,231,246
6,1761572699598,1761572699598,31124,0,125,255,0,419373295,0,125,125,255
6,1761572699598,1761572699598,31125,255,125,116,255,418384139,112,255,125,126
6,1761572699598,1761572699598,31126,0,125,255,0,419373295,0,125,125,255
6,1761572699598,1761572699598,31127,253,255,255,100,217056000,255,0,255,255
6,1761572699598,1761572699598,31128,225,255,255,0,419299536,255,3,255,255
6,1761572699598,1761572699598,31129,255,125,116,255,418384139,112,255,125,126
6,1761572699598,1761572699598,31130,255,255,255,111,419343920,111,255,255,255
