,vehicle_id,timestamp,dt,IST,ts_mins,total_battery_current,bat_voltage,gear_position,odometerreading,vehicle_speed_vcu,vehiclereadycondition,gun_connection_status,ignitionstatus,latitude,longitude,altitude,ground_speed_kmph,charger_proximity,dist_from_loc
0,18,2025-09-20 18:30:00.247,2025-09-20,2025-09-21 00:00:00.247,2025-09-20 18:30:00,1.3,639.2,0.0,2635.375,0.0,0.0,0.0,1.0,28.423038,76.99171,224.1,0.0,NEAR_GGN,6.2
1,18,2025-09-20 18:30:02.287,2025-09-20,2025-09-21 00:00:02.287,2025-09-20 18:30:00,1.2,639.2,0.0,2635.38,0.0,0.0,0.0,1.0,28.423037,76.99171,224.1,0.0,NEAR_GGN,6.31
2,18,2025-09-20 18:30:04.147,2025-09-20,2025-09-21 00:00:04.147,2025-09-20 18:30:00,1.2,639.2,0.0,2635.38,0.0,0.0,0.0,1.0,28.423035,76.99171,224.1,0.0,NEAR_GGN,6.52
3,18,2025-09-20 18:30:05.707,2025-09-20,2025-09-21 00:00:05.707,2025-09-20 18:30:00,1.2,639.2,0.0,2635.375,0.0,0.0,0.0,1.0,28.423035,76.99171,224.1,0.0,NEAR_GGN,6.52
4,18,2025-09-20 18:30:07.007,2025-09-20,2025-09-21 00:00:07.007,2025-09-20 18:30:00,1.1,639.2,0.0,2635.38,0.0,0.0,0.0,1.0,28.423035,76.99171,224.1,,NEAR_GGN,6.52
5,18,2025-09-20 18:30:08.747,2025-09-20,2025-09-21 00:00:08.747,2025-09-20 18:30:00,1.2,639.2,0.0,2635.375,0.0,0.0,0.0,1.0,28.423035,76.99171,224.1,,NEAR_GGN,6.52
6,18,2025-09-20 18:30:10.647,2025-09-20,2025-09-21 00:00:10.647,2025-09-20 18:30:00,1.2,639.2,0.0,2635.375,0.0,0.0,0.0,1.0,28.423035,76.99171,224.1,,NEAR_GGN,6.52
7,18,2025-09-20 18:30:14.007,2025-09-20,2025-09-21 00:00:14.007,2025-09-20 18:30:00,1.2,639.2,0.0,2635.375,0.0,0.0,0.0,1.0,28.423035,76.99171,224.1,,NEAR_GGN,6.52
8,18,2025-09-20 18:30:15.887,2025-09-20,2025-09-21 00:00:15.887,2025-09-20 18:30:00,1.2,639.2,0.0,2635.375,0.0,0.0,0.0,1.0,28.423035,76.99171,224.1,,NEAR_GGN,6.52
9,18,2025-09-20 18:30:18.227,2025-09-20,2025-09-21 00:00:18.227,2025-09-20 18:30:00,1.2,639.2,0.0,2635.375,0.0,0.0,0.0,1.0,28.423035,76.99171,224.1,,NEAR_GGN,6.52
