,Departure_Index,vehicle_id,Trip,Departure_Time,Arrival_Time,ODO_Distance_km,TRAVEL_Time,Energy_Consumed_kWh,Regen_Energy_kWh,Idling_Energy_kWh,Net_Energy_kWh,Energy_Rate_kWh_per_km,HALT_Time,TOTAL_Time,GPS_Distance_km,Arrival_Index
15,187058,18,MZF-GGN,2025-09-24 20:42:00.520,2025-09-25 01:17:01.280,214.06,04:35:00,242.291,52.116,2.183,190.176,0.89,00:50:52,05:25:53,145.02,194168
16,204081,18,GGN-MZF,2025-09-25 05:32:20.220,2025-09-25 10:30:02.659,206.82,04:57:42,223.788,41.128,3.972,182.66,0.88,04:15:18,09:13:01,144.81,211682
17,212214,18,MZF-DDN,2025-09-25 11:08:06.486,2025-09-25 13:45:00.810,125.12,02:36:54,160.131,24.475,3.308,135.657,1.08,00:38:03,03:14:58,85.79,218674
18,227049,18,DDN-MZF,2025-09-25 16:56:04.952,2025-09-25 19:34:01.922,124.0,02:37:56,147.051,35.956,2.572,111.095,0.9,03:11:04,05:49:01,85.66,233389
19,235337,18,MZF-GGN,2025-09-25 20:11:04.883,2025-09-26 00:57:05.950,209.2,04:46:01,201.282,50.335,1.853,150.947,0.72,00:37:02,05:23:04,145.11,242442
20,250582,18,GGN-MZF,2025-09-26 06:04:13.043,2025-09-26 11:30:30.674,208.25,05:26:17,226.527,44.722,3.322,181.805,0.87,05:07:07,10:33:24,145.2,257830
21,258274,18,MZF-DDN,2025-09-26 11:40:01.374,2025-09-26 14:05:01.014,125.25,02:24:59,176.399,33.623,2.325,142.776,1.14,00:09:30,02:34:30,85.76,264052
22,272898,18,DDN-MZF,2025-09-26 17:19:04.431,2025-09-26 20:15:06.211,124.59,02:56:01,137.078,31.396,3.372,105.682,0.85,03:14:03,06:10:05,85.61,278140
23,280711,18,MZF-GGN,2025-09-26 21:07:05.104,2025-09-27 01:25:04.444,211.38,04:17:59,141.654,59.102,1.03,82.552,0.39,00:51:58,05:09:58,145.01,285123
24,291213,18,GGN-MZF,2025-09-27 05:44:12.584,2025-09-27 10:31:07.459,207.16,04:46:54,199.071,47.284,7.082,151.787,0.73,04:19:08,09:06:03,145.04,297904
25,298592,18,MZF-DDN,2025-09-27 11:14:02.919,2025-09-27 14:05:33.441,125.12,02:51:30,174.979,28.149,2.161,146.83,1.17,00:42:55,03:34:25,85.79,305091
26,312410,18,DDN-MZF,2025-09-27 16:46:00.788,2025-09-27 19:48:01.908,125.0,03:02:01,126.755,38.334,5.594,88.422,0.71,02:40:27,05:42:28,85.91,319537
27,322137,18,MZF-GGN,2025-09-27 20:40:00.168,2025-09-28 01:13:02.849,200.52,04:33:02,271.344,44.754,1.953,226.591,1.13,00:51:58,05:25:00,145.06,328684
28,335208,18,GGN-MZF,2025-09-28 05:45:00.109,2025-09-28 10:59:56.980,207.5,05:14:56,216.26,47.521,4.122,168.739,0.81,04:31:57,09:46:54,144.98,342653
29,342719,18,MZF-DDN,2025-09-28 11:02:04.781,2025-09-28 13:34:01.000,125.25,02:31:56,173.086,31.978,2.274,141.108,1.13,00:02:07,02:34:04,85.59,348785
30,357600,18,DDN-MZF,2025-09-28 16:39:03.946,2025-09-28 19:49:00.427,124.95,03:09:56,117.151,39.305,4.347,77.846,0.62,03:05:02,06:14:59,85.61,364905
31,367106,18,MZF-GGN,2025-09-28 20:33:07.234,2025-09-29 00:49:04.141,211.0,04:15:56,224.436,34.532,2.193,189.905,0.9,00:44:06,05:00:03,145.29,372833
32,382572,18,GGN-MZF,2025-09-29 05:40:01.250,2025-09-29 10:33:00.834,206.94,04:52:59,198.666,29.512,8.012,169.154,0.82,04:50:57,09:43:56,144.97,390143
33,390752,18,MZF-DDN,2025-09-29 11:13:00.096,2025-09-29 13:52:00.706,125.25,02:39:00,169.076,33.62,2.808,135.456,1.08,00:39:59,03:18:59,85.65,396937
34,404565,18,DDN-MZF,2025-09-29 16:48:10.113,2025-09-29 19:49:00.145,124.75,03:00:50,156.285,65.713,2.497,90.571,0.73,02:56:09,05:56:59,85.58,409644
35,411746,18,MZF-GGN,2025-09-29 20:31:01.865,2025-09-30 00:30:04.377,201.5,03:59:02,226.587,46.021,0.717,180.565,0.9,00:42:01,04:41:04,145.07,417859
36,426167,18,GGN-MZF,2025-09-30 05:50:05.583,2025-09-30 10:51:00.244,207.75,05:00:54,197.361,38.492,5.546,158.869,0.76,05:20:01,10:20:55,145.1,434282
37,434513,18,MZF-DDN,2025-09-30 11:29:10.004,2025-09-30 14:01:03.523,125.16,02:31:53,158.484,32.14,1.727,126.344,1.01,00:38:09,03:10:03,85.81,440390
38,449854,18,DDN-MZF,2025-09-30 17:44:05.515,2025-09-30 19:45:04.880,110.47,02:00:59,111.635,27.793,1.08,83.843,0.76,03:43:01,05:44:01,85.49,454819
39,457435,18,MZF-GGN,2025-09-30 20:37:01.330,2025-10-01 01:12:08.582,200.83,04:35:07,198.597,40.418,2.236,158.179,0.79,00:51:56,05:27:03,144.78,465512
40,480571,18,GGN-MZF,2025-10-01 06:04:16.888,2025-10-01 10:49:08.743,206.81,04:44:51,215.067,41.596,2.369,173.471,0.84,04:52:08,09:37:00,144.84,493027
41,493814,18,MZF-DDN,2025-10-01 11:32:03.504,2025-10-01 13:59:10.795,125.0,02:27:07,168.994,27.507,1.39,141.487,1.13,00:42:54,03:10:02,85.59,500833
42,509264,18,DDN-MZF,2025-10-01 16:48:05.156,2025-10-01 20:08:13.199,123.79,03:20:08,143.016,42.139,2.352,100.877,0.81,02:48:54,06:09:02,85.6,519037
43,520330,18,MZF-GGN,2025-10-01 20:40:07.087,2025-10-02 00:55:19.327,200.5,04:15:12,189.5,54.441,0.449,135.06,0.67,00:31:53,04:47:06,144.77,531121
44,547108,18,GGN-MZF,2025-10-02 05:58:00.452,2025-10-02 10:47:00.725,207.38,04:49:00,222.737,33.471,5.283,189.266,0.91,05:02:41,09:51:41,144.76,559645
45,562497,18,MZF-DDN,2025-10-02 11:40:08.945,2025-10-02 14:12:12.197,125.12,02:32:03,155.136,27.783,2.115,127.353,1.02,00:53:08,03:25:11,85.76,569220
46,576994,18,DDN-MZF,2025-10-02 16:43:17.047,2025-10-02 19:52:07.582,125.38,03:08:50,119.568,29.572,3.805,89.996,0.72,02:31:04,05:39:55,85.45,584562
47,587002,18,MZF-GGN,2025-10-02 20:44:07.350,2025-10-03 00:37:03.742,203.0,03:52:56,151.401,60.549,1.043,90.853,0.45,00:51:59,04:44:56,145.27,592693
48,602321,18,GGN-MZF,2025-10-03 05:46:02.036,2025-10-03 10:38:03.002,207.03,04:52:00,170.32,34.854,3.552,135.466,0.65,05:08:58,10:00:59,144.89,609411
49,610173,18,MZF-DDN,2025-10-03 11:17:07.482,2025-10-03 14:28:33.011,125.0,03:11:25,179.637,28.683,3.264,150.954,1.21,00:39:04,03:50:30,85.67,617843
50,624111,18,DDN-MZF,2025-10-03 16:56:02.520,2025-10-03 20:08:13.572,126.28,03:12:11,159.279,32.688,2.874,126.59,1.0,02:27:29,05:39:40,86.0,631233
51,633538,18,MZF-GGN,2025-10-03 20:54:15.413,2025-10-04 00:46:01.488,200.89,03:51:46,216.711,51.107,0.552,165.605,0.82,00:46:01,04:37:47,144.96,640451
52,654116,18,GGN-MZF,2025-10-04 05:54:13.559,2025-10-04 10:53:00.541,207.15,04:58:46,202.161,44.181,6.455,157.981,0.76,05:08:12,10:06:59,145.03,663072
53,665764,18,MZF-DDN,2025-10-04 11:45:04.561,2025-10-04 14:46:05.994,125.25,03:01:01,160.003,51.386,4.017,108.617,0.87,00:52:04,03:53:05,85.69,672944
54,684223,18,DDN-MZF,2025-10-04 19:07:04.347,2025-10-04 22:30:01.121,124.88,03:22:56,139.474,30.192,1.22,109.282,0.88,04:20:58,07:43:55,85.58,691734
55,694493,18,MZF-GGN,2025-10-04 23:25:01.862,2025-10-05 02:49:00.819,201.5,03:23:58,197.93,34.645,1.126,163.285,0.81,00:55:00,04:18:59,145.25,700864
56,751086,18,GGN-MZF,2025-10-07 05:55:03.259,2025-10-07 10:40:00.700,207.54,04:44:57,202.922,54.179,2.55,148.743,0.72,51:06:02,55:50:59,144.93,758703
57,758973,18,MZF-DDN,2025-10-07 11:26:04.300,2025-10-07 13:52:01.560,125.09,02:25:57,142.944,27.502,0.95,115.442,0.92,00:46:03,03:12:00,85.66,764134
58,770403,18,DDN-MZF,2025-10-07 16:38:03.040,2025-10-07 19:41:01.263,126.25,03:02:58,117.71,33.298,3.802,84.413,0.67,02:46:01,05:48:59,85.81,777426
59,780781,18,MZF-GGN,2025-10-07 20:30:00.157,2025-10-08 00:32:05.701,201.16,04:02:05,196.603,47.581,0.459,149.022,0.74,00:48:58,04:51:04,145.06,788728
60,802209,18,GGN-MZF,2025-10-08 05:56:04.665,2025-10-08 10:38:03.024,211.68,04:41:58,199.998,43.087,1.349,156.911,0.74,05:23:58,10:05:57,144.92,810109
