idx,start,end,duration_s,max_bpp,max_bpp_bucket,avg_bpp,ttl_dist_m,start_vel,peak_vel,avg_decel_mps2,braking_force_kgf
1,22/09/25 00:04:30,22/09/25 00:04:44,13.44,32.40,30-35,22.48,89.53,49.02,49.02,1.01,1394.61
2,22/09/25 01:01:57,22/09/25 01:02:11,13.92,22.80,20-25,14.60,51.43,35.50,35.50,0.71,975.21
3,22/09/25 01:06:56,22/09/25 01:07:11,15.00,49.20,45-50,28.34,124.22,74.97,74.97,1.39,1911.20
4,22/09/25 01:10:36,22/09/25 01:10:45,9.12,50.80,50-55,25.50,42.55,50.75,50.75,1.55,2127.90
5,22/09/25 01:51:03,22/09/25 01:51:17,13.60,28.00,25-30,21.83,67.42,49.59,49.59,1.01,1394.33
6,22/09/25 01:54:53,22/09/25 01:55:07,14.26,25.20,25-30,18.13,34.58,44.72,44.72,0.87,1199.20
7,22/09/25 02:03:30,22/09/25 02:03:44,14.92,29.60,25-30,26.75,61.05,43.72,43.72,0.81,1120.53
8,22/09/25 06:16:43,22/09/25 06:16:56,12.36,32.80,30-35,19.68,33.52,50.75,50.75,1.14,1570.10
9,22/09/25 06:27:52,22/09/25 06:28:06,13.72,34.40,30-35,14.10,75.12,46.69,46.69,0.95,1301.31
10,22/09/25 06:58:36,22/09/25 06:58:44,7.90,40.80,40-45,28.40,19.69,47.02,47.02,1.65,2275.97
11,22/09/25 07:01:18,22/09/25 07:01:31,13.08,46.80,45-50,21.30,110.27,55.04,55.04,1.17,1609.09
12,22/09/25 07:04:41,22/09/25 07:04:55,13.94,26.40,25-30,11.89,26.40,28.97,28.97,0.58,794.69
13,22/09/25 07:06:27,22/09/25 07:06:42,14.72,34.40,30-35,19.37,64.35,44.47,44.47,0.84,1155.23
14,22/09/25 07:22:49,22/09/25 07:23:02,12.48,27.60,25-30,13.27,16.94,25.21,25.21,0.56,772.45
15,22/09/25 08:46:47,22/09/25 08:47:01,14.42,17.60,15-20,10.62,46.30,29.15,29.15,0.56,773.01
16,22/09/25 09:41:53,22/09/25 09:42:07,14.14,18.80,15-20,11.53,47.24,28.73,28.73,0.56,776.96
17,22/09/25 09:49:50,22/09/25 09:50:05,14.74,24.80,20-25,9.57,44.84,27.90,27.90,0.53,723.80
18,22/09/25 12:04:16,22/09/25 12:04:30,14.88,32.40,30-35,21.67,101.46,51.46,51.46,0.96,1322.53
19,22/09/25 12:29:49,22/09/25 12:30:04,14.44,30.80,30-35,21.51,71.41,49.19,49.19,0.95,1302.45
20,22/09/25 12:38:38,22/09/25 12:38:51,13.60,39.20,35-40,23.85,104.34,59.23,59.23,1.21,1665.38
21,22/09/25 12:43:42,22/09/25 12:43:56,14.14,34.00,30-35,21.20,93.72,55.91,55.91,1.10,1512.00
22,22/09/25 13:01:38,22/09/25 13:01:51,12.24,35.20,35-40,23.66,69.08,43.92,43.92,1.00,1372.23
23,22/09/25 13:02:23,22/09/25 13:02:31,7.88,55.60,55-60,33.95,32.20,49.48,49.48,1.74,2401.12
24,22/09/25 13:42:42,22/09/25 13:42:53,11.26,39.20,35-40,27.84,74.20,55.83,55.83,1.38,1896.01
25,22/09/25 13:47:32,22/09/25 13:47:44,11.80,35.20,35-40,18.24,73.97,44.72,44.72,1.05,1449.21
26,22/09/25 13:52:14,22/09/25 13:52:29,14.84,27.20,25-30,14.09,77.81,41.71,41.71,0.78,1074.56
27,22/09/25 17:09:53,22/09/25 17:10:08,14.70,23.60,20-25,11.36,76.56,37.00,37.00,0.70,962.42
28,22/09/25 17:30:42,22/09/25 17:30:57,14.28,24.40,20-25,14.51,41.61,26.77,26.77,0.52,716.80
29,22/09/25 18:03:12,22/09/25 18:03:26,13.78,38.00,35-40,24.15,87.45,53.51,53.51,1.08,1484.90
30,22/09/25 18:50:33,22/09/25 18:50:48,14.76,26.80,25-30,13.83,59.98,36.43,36.43,0.69,943.81
31,22/09/25 19:42:01,22/09/25 19:42:15,14.22,37.20,35-40,22.12,96.92,44.93,44.93,0.88,1208.14
32,22/09/25 21:42:46,22/09/25 21:43:00,13.98,32.80,30-35,19.43,67.31,38.48,38.48,0.76,1052.61
33,22/09/25 22:00:43,22/09/25 22:00:57,14.08,36.00,35-40,25.36,61.53,50.78,50.78,1.00,1379.12
34,22/09/25 22:04:19,22/09/25 22:04:33,13.80,34.80,30-35,15.91,74.75,40.70,40.70,0.82,1127.78
35,22/09/25 23:03:02,22/09/25 23:03:13,11.30,32.00,30-35,23.07,42.55,38.93,38.93,0.96,1317.40
36,22/09/25 23:16:25,22/09/25 23:16:33,8.72,34.40,30-35,20.48,14.27,28.45,28.45,0.91,1247.60
37,23/09/25 00:23:00,23/09/25 00:23:14,14.22,20.80,20-25,16.40,64.59,37.70,37.70,0.74,1013.80
38,23/09/25 07:33:23,23/09/25 07:33:37,13.78,22.40,20-25,15.67,36.43,29.58,29.58,0.60,820.90
39,23/09/25 07:45:54,23/09/25 07:46:08,13.44,36.80,35-40,18.10,67.82,38.55,38.55,0.80,1096.82
40,23/09/25 09:23:20,23/09/25 09:23:34,14.37,38.00,35-40,22.57,105.50,49.95,49.95,0.97,1329.47
41,23/09/25 09:24:49,23/09/25 09:25:03,14.14,28.00,25-30,12.74,42.18,34.31,34.31,0.67,927.86
42,23/09/25 09:29:10,23/09/25 09:29:22,11.58,45.20,45-50,26.40,86.35,62.71,62.71,1.50,2070.80
43,23/09/25 10:21:04,23/09/25 10:21:19,14.80,37.60,35-40,21.17,109.18,43.79,47.57,0.89,1229.09
44,23/09/25 10:30:42,23/09/25 10:30:50,7.50,42.80,40-45,26.64,17.25,37.65,37.65,1.39,1919.10
45,23/09/25 11:42:29,23/09/25 11:42:42,13.11,34.40,30-35,18.00,53.54,45.43,45.43,0.96,1324.80
46,23/09/25 12:09:00,23/09/25 12:09:12,12.00,33.60,30-35,23.13,80.65,53.25,53.25,1.23,1696.87
47,23/09/25 12:22:42,23/09/25 12:22:55,13.42,25.60,25-30,14.73,52.80,35.54,35.54,0.74,1012.69
48,23/09/25 12:51:03,23/09/25 12:51:08,5.50,42.80,40-45,30.07,18.32,35.59,35.59,1.80,2474.43
49,23/09/25 12:57:53,23/09/25 12:58:03,9.53,31.20,30-35,25.20,35.72,37.54,37.54,1.09,1506.93
50,23/09/25 13:10:29,23/09/25 13:10:38,8.98,54.00,50-55,39.11,70.64,72.47,72.47,2.24,3085.98
51,23/09/25 17:23:51,23/09/25 17:24:03,12.32,18.00,15-20,10.10,35.79,29.86,29.86,0.67,926.81
52,23/09/25 17:44:58,23/09/25 17:45:12,13.06,33.60,30-35,15.30,57.38,27.43,27.43,0.58,803.21
53,23/09/25 18:25:07,23/09/25 18:25:19,12.24,29.60,25-30,19.20,50.37,34.67,34.67,0.79,1083.22
54,23/09/25 19:17:34,23/09/25 19:17:49,14.80,36.40,35-40,20.58,64.61,48.57,48.57,0.91,1254.92
55,23/09/25 20:31:13,23/09/25 20:31:23,10.24,24.00,20-25,20.75,23.10,25.14,25.14,0.68,938.81
56,23/09/25 21:30:19,23/09/25 21:30:33,14.40,25.60,25-30,12.74,53.65,26.11,26.11,0.50,693.35
57,23/09/25 21:44:27,23/09/25 21:44:41,14.02,33.20,30-35,24.00,75.92,47.02,47.02,0.93,1282.28
58,23/09/25 22:39:49,23/09/25 22:40:03,13.58,36.80,35-40,29.03,71.22,60.94,60.94,1.25,1715.86
59,23/09/25 23:29:28,23/09/25 23:29:43,14.94,29.60,25-30,9.38,22.62,27.67,27.67,0.51,708.22
60,23/09/25 23:45:38,23/09/25 23:45:53,14.92,40.80,40-45,22.89,57.20,52.86,52.86,0.98,1354.78
